id,age,height,eye_colour,hair_colour,gender,plate_number,car_make,car_model
SFL57915,22,164,Hazel,Red,Female,MN03 S 2027,Rolls-Royce,Ghost
SFL79137,33,174,Brown,Black,Female,MZ03 T 3037,Ferrari,296 GTB
SFL91359,27,170,Green,Blonde,Female,NL03 U 4047,Aston Martin,Vantage
SFL13571,40,166,Blue,Brown,Female,TR03 V 5057,Porsche,911
SFL35794,24,173,Brown,Black,Female,ML07 W 6067,Land Rover,Range Rover
SFL57916,47,162,Black,Grey,Female,AR03 X 7077,Maserati,MC20
SFL79138,19,168,Brown,Black,Female,SK03 Y 8087,Bentley,Flying Spur
SFL98712,38,182,Brown,Black,Male,JH03 Z 9097,Lamborghini,Aventador
SFL34587,31,179,Black,Black,Male,OD04 A 1018,Rolls-Royce,Phantom
SFL12398,44,185,Brown,Salt & Pepper,Male,CG06 B 2028,Ferrari,SF90 Stradale
SFL67843,23,177,Hazel,Brown,Male,UK09 C 3038,Aston Martin,DBS
SFL89012,34,187,Brown,Black,Male,HP19 D 4048,Porsche,Taycan
SFL45678,28,175,Green,Blonde,Male,LA03 E 5058,Tesla,Model S
SFL23456,41,184,Blue,Brown,Male,DN11 F 6068,Audi,e-tron GT
SFL87654,26,182,Brown,Black,Male,DD05 G 7078,Mercedes-Benz,EQS
SFL09876,48,173,Black,Grey,Male,AN03 H 8088,BMW,iX
SFL65432,20,186,Brown,Black,Male,LD03 I 9098,Jaguar,I-Pace
SFL98713,35,170,Brown,Black,Female,MP06 J 1019,Tesla,Model 3
SFL34588,29,168,Black,Black,Female,BR03 K 2029,Audi,Q4 e-tron
SFL12399,42,173,Brown,Brown,Female,OR04 L 3039,Mercedes-Benz,EQB
SFL67844,21,165,Hazel,Red,Female,BH03 M 4049,BMW,i4
SFL89013,32,175,Brown,Black,Female,KA21 N 5059,Tesla,Model X
SFL45679,26,171,Green,Blonde,Female,MH04 P 6069,Audi,Q8 e-tron
SFL23457,39,167,Blue,Brown,Female,DL06 Q 7079,Mercedes-Benz,EQE
SFL87655,24,174,Brown,Black,Female,UP18 R 8089,BMW,i7
SFL09877,46,163,Black,Grey,Female,TN11 S 9099,Tesla,Model Y
SFL65433,18,169,Brown,Black,Female,WB06 T 1010,Audi,A3
SFL55555,40,183,Brown,Black,Male,GJ08 U 2020,BMW,2 Series
SFL66666,33,180,Black,Black,Male,RJ20 V 3030,Mercedes-Benz,A-Class
SFL77777,47,186,Brown,Salt & Pepper,Male,PB14 W 4040,Jaguar,E-Pace
SFL88888,25,178,Hazel,Brown,Male,HR31 X 5050,Volvo,XC40 Recharge
SFL99999,36,188,Brown,Black,Male,CH05 Y 6060,Lexus,UX
SFL00000,30,176,Green,Blonde,Male,AP32 Z 7070,Audi,Q2
SFL11111,43,185,Blue,Brown,Male,TS13 A 8080,BMW,X2
SFL22222,27,183,Brown,Black,Male,KL22 B 9090,Mercedes-Benz,GLB
SFL33333,50,174,Black,Grey,Male,PY04 C 1011,Jaguar,F-Type
SFL44444,22,187,Brown,Black,Male,AS05 D 2021,Porsche,718 Cayman
SFL55556,37,171,Brown,Black,Female,GA11 E 3031,Alpine,A110
SFL66667,31,169,Black,Black,Female,MN04 F 4041,Toyota,Supra
SFL77778,44,174,Brown,Brown,Female,MZ04 G 5051,Nissan,Z
SFL88889,23,166,Hazel,Red,Female,NL04 H 6061,Lotus,Emira
SFL99990,34,176,Brown,Black,Female,TR04 I 7071,Chevrolet,Corvette
SFL00001,28,172,Green,Blonde,Female,ML08 J 8081,Ford,Mustang Shelby GT500
SFL11112,41,168,Blue,Brown,Female,AR04 K 9091,Dodge,Challenger Hellcat
SFL22223,25,175,Brown,Black,Female,SK04 L 1012,Chevrolet,Camaro ZL1
SFL33334,48,164,Black,Grey,Female,JH04 M 2022,Acura,NSX
SFL44445,20,170,Brown,Black,Female,OD05 N 3032,Nissan,GT-R
SFL78901,39,184,Brown,Black,Male,CG07 P 4042,Lexus,LC 500
SFL23451,32,181,Black,Black,Male,UK10 Q 5052,BMW,M4
SFL67892,45,187,Brown,Salt & Pepper,Male,HP20 R 6062,Mercedes-AMG,C63
SFL12343,24,179,Hazel,Brown,Male,LA04 S 7072,Audi,RS5
SFL56784,35,189,Brown,Black,Male,DN12 T 8082,Alfa Romeo,Giulia Quadrifoglio
SFL01235,29,177,Green,Blonde,Male,DD06 U 9092,Cadillac,CT5-V Blackwing
SFL45676,42,186,Blue,Brown,Male,AN04 V 1013,Maserati,Ghibli Trofeo
SFL89017,26,184,Brown,Black,Male,LD04 W 2023,Porsche,Panamera Turbo S
SFL34568,49,175,Black,Grey,Male,MP07 X 3033,BMW,M5 Competition
SFL78909,21,188,Brown,Black,Male,BR04 Y 4043,Mercedes-AMG,E63 S
SFL78902,36,172,Brown,Black,Female,OR05 Z 5053,Audi,RS7
SFL23452,30,170,Black,Black,Female,BH04 A 6063,Porsche,Taycan Turbo S
SFL67893,42,175,Brown,Brown,Female,KA22 B 7073,Tesla,Model S Plaid
SFL12344,22,167,Hazel,Red,Female,MH05 C 8083,Lucid,Air Dream Edition
SFL56785,33,177,Brown,Black,Female,DL07 D 9093,Rimac,Nevera
SFL01236,27,173,Green,Blonde,Female,UP19 E 1014,Pininfarina,Battista
SFL45677,40,169,Blue,Brown,Female,TN12 F 2024,Bugatti,Chiron
SFL89018,24,176,Brown,Black,Female,WB07 G 3034,Koenigsegg,Jesko
SFL34569,47,165,Black,Grey,Female,GJ09 H 4044,Pagani,Huayra
SFL78900,19,171,Brown,Black,Female,RJ21 I 5054,McLaren,720S
SFL56489,36,165,Brown,Black,Female,KA18 P 4321,Ford,Focus
